,Expected Return (%)
META,108.02340507507324
JPM,70.23834586143494
COST,66.79462194442749
AMZN,64.7059977054596
NVDA,64.41500186920166
WMT,59.97709631919861
AVGO,54.286032915115356
ORCL,49.86218214035034
LLY,44.184550642967224
GOOG,43.884435296058655
