,Expected Return (%)
META,108.02340507507324
JPM,70.23834586143494
COST,66.79462194442749
AMZN,64.7059977054596
NVDA,64.41500186920166
WMT,59.97709631919861
AVGO,54.286032915115356
ORCL,49.86218214035034
LLY,44.184550642967224
GOOG,43.884435296058655
GOOGL,43.38134825229645
HD,40.69472551345825
TSLA,30.627334117889404
MA,30.02822697162628
V,27.29254961013794
MSFT,25.887960195541382
UNH,25.418907403945923
AAPL,22.640974819660187
PG,18.075716495513916
XOM,12.018945813179016
