,Expected Return (%)
NVDA,148.66901636123657
META,97.48247861862183
JPM,63.159531354904175
AMZN,63.01919221878052
LLY,60.15808582305908
COST,57.25868344306946
AVGO,55.203866958618164
ORCL,54.855310916900635
WMT,46.94717824459076
GOOGL,42.66059994697571
GOOG,41.76584184169769
HD,39.67919945716858
TSLA,33.142757415771484
MA,26.594260334968567
MSFT,26.55540704727173
V,22.694702446460724
UNH,21.444158256053925
AAPL,20.399855077266693
PG,17.560958862304688
XOM,13.28299194574356
