Date,ADVANC.BK,AOT.BK,BBL.BK,BDMS.BK,BH.BK,CPALL.BK,CPF.BK,CPN.BK,DELTA.BK,HMPRO.BK,INTUCH.BK,IVL.BK,KBANK.BK,KTB.BK,MINT.BK,PTT.BK,PTTEP.BK,SCC.BK,TRUE.BK,TTB.BK
2014-01-02,115.70769500732422,13.004045486450195,112.16766357421875,8.86504077911377,68.68024444580078,33.13692855834961,22.704105377197266,31.58096694946289,4.015338897705078,4.7729949951171875,36.06366729736328,14.913610458374023,107.74177551269531,9.801531791687012,15.467828750610352,16.889352798461914,93.35326385498047,263.6430358886719,5.398061752319336,1.1987944841384888
2014-01-03,121.27652740478516,12.87090015411377,113.85691833496094,8.824374198913574,69.91403198242188,33.13692855834961,22.704105377197266,31.15988540649414,3.8464698791503906,4.633434295654297,36.90891647338867,14.837522506713867,111.81448364257812,9.864767074584961,15.223605155944824,16.519508361816406,92.14872741699219,262.9510498046875,5.318678379058838,1.1864356994628906
2014-01-06,124.37032318115234,12.648985862731934,117.23546600341797,9.6783447265625,69.0915298461914,33.34403991699219,21.773605346679688,31.58096694946289,3.696364164352417,4.605520725250244,37.19065475463867,14.913610458374023,116.2574462890625,9.991236686706543,16.36333656311035,16.272951126098633,89.13729095458984,266.4110107421875,5.477445602416992,1.217332124710083
2014-01-07,129.9391326904297,13.447869300842285,120.27616119384766,9.556349754333496,68.47462463378906,33.96535110473633,22.704105377197266,32.844200134277344,3.7714171409606934,4.717171669006348,38.17677688598633,15.44623851776123,119.95991516113281,10.244179725646973,17.096023559570312,17.32082748413086,92.44984436035156,269.1788330078125,5.63621187210083,1.2296910285949707
2014-01-08,127.46409606933594,12.87090015411377,119.93830108642578,9.312359809875488,67.44647979736328,33.5511474609375,22.145803451538086,32.633663177490234,3.790180206298828,4.633434295654297,38.03590393066406,15.978869438171387,119.95991516113281,9.991236686706543,16.526155471801758,17.567392349243164,94.25666809082031,271.2547912597656,5.398061752319336,1.2482293844223022
2014-01-09,125.60783386230469,12.959663391113281,120.27616119384766,9.556349754333496,68.26900482177734,33.96535110473633,21.95970916748047,32.633663177490234,3.8277065753936768,4.633434295654297,38.31764221191406,16.054956436157227,119.58969116210938,10.054472923278809,17.096023559570312,17.505746841430664,94.25666809082031,271.2547912597656,5.437753677368164,1.235870361328125
2014-01-10,123.44216918945312,12.91528034210205,119.60047912597656,9.515685081481934,71.55907440185547,32.92982864379883,22.33190155029297,32.00204849243164,3.8464698791503906,4.661346435546875,38.03590393066406,15.902775764465332,118.47895812988281,10.180946350097656,17.014612197875977,17.690670013427734,95.76239776611328,270.5628356933594,5.398061752319336,1.2296910285949707
2014-01-13,129.32037353515625,13.58101749420166,122.64115142822266,9.881671905517578,71.97032928466797,33.75824737548828,22.33190155029297,33.89690017700195,3.9402859210968018,4.689257621765137,39.16289138793945,16.283227920532227,121.44090270996094,10.433889389038086,17.910120010375977,17.998868942260742,99.37606048583984,274.7146301269531,5.675902843475342,1.2482293844223022
2014-01-14,131.1766357421875,14.157988548278809,122.30328369140625,9.881671905517578,71.55907440185547,32.92982864379883,22.890199661254883,33.475826263427734,3.8277065753936768,4.968381881713867,40.28988265991211,16.511493682861328,121.44090270996094,10.686830520629883,18.317167282104492,18.122146606445312,97.56922912597656,280.9423828125,6.231586456298828,1.2729464769363403
2014-01-15,126.84536743164062,14.73496150970459,119.26263427734375,9.759675979614258,69.0915298461914,32.51561737060547,21.95970916748047,32.633663177490234,3.677600383758545,4.912556171417236,38.881141662597656,15.826688766479492,118.84917449951172,10.497122764587402,17.991531372070312,17.629030227661133,94.85896301269531,280.9423828125,6.072819232940674,1.2482293844223022
2014-01-16,133.03294372558594,14.73496150970459,120.95188903808594,9.881671905517578,70.73655700683594,32.92982864379883,21.95970916748047,33.686363220214844,3.7526540756225586,4.996292591094971,40.430755615234375,16.283227920532227,122.9218978881836,10.876537322998047,17.828710556030273,17.752307891845703,96.06352233886719,282.3264465332031,6.390352249145508,1.3100224733352661
2014-01-17,132.41419982910156,14.291135787963867,120.95188903808594,9.759675979614258,70.73655700683594,32.72272491455078,21.773605346679688,33.475826263427734,3.790180206298828,5.052117824554443,41.1351203918457,16.20713233947754,124.40287017822266,10.813301086425781,17.503068923950195,17.752307891845703,95.76239776611328,279.5585021972656,6.231586456298828,1.3223812580108643
2014-01-20,129.9391326904297,14.024842262268066,118.5868911743164,9.841008186340332,70.11966705322266,33.34403991699219,22.33190155029297,32.844200134277344,3.7714171409606934,5.024204730987549,40.430755615234375,15.674508094787598,122.55164337158203,10.686830520629883,17.177433013916016,17.813947677612305,95.46125030517578,278.1745300292969,6.191894054412842,1.3223812580108643
2014-01-21,130.55789184570312,14.46866512298584,118.92472839355469,9.759675979614258,69.91403198242188,33.5511474609375,21.95970916748047,32.844200134277344,3.8277065753936768,5.1358537673950195,40.430755615234375,15.902775764465332,125.14337158203125,10.686830520629883,17.177433013916016,17.629030227661133,95.76239776611328,276.79058837890625,6.271277904510498,1.35945725440979
2014-01-22,130.55789184570312,14.202370643615723,118.24903869628906,9.759675979614258,69.29714965820312,32.92982864379883,22.145803451538086,32.844200134277344,3.808943033218384,5.052117824554443,40.28988265991211,15.902775764465332,125.88385009765625,10.93977165222168,17.340253829956055,17.382471084594727,95.16011810302734,278.1745300292969,6.271277904510498,1.4212509393692017
