,Expected Return (%)
TRUE.BK,51.305508613586426
INTUCH.BK,38.682347536087036
ADVANC.BK,34.29455757141113
DELTA.BK,22.23200500011444
KBANK.BK,21.5531125664711
TTB.BK,18.72527450323105
CPF.BK,12.934558093547821
KTB.BK,10.439442843198776
PTT.BK,8.446279168128967
CPALL.BK,0.03394259256310761
